Date : 2023-06-27 01:17:24
Directory : /home/blackflage10/Desktop/c/minecraft/src
Total : 300 files,  -38885 codes, -13528 comments, -9527 blanks, all -61940 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/frustum.c                               | C                |        -30 |         -6 |         -7 |        -43 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/io.c                                    | C                |        -33 |         -6 |         -8 |        -47 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/ivec2.c                                 | C                |        -82 |         -6 |        -19 |       -107 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/ivec3.c                                 | C                |        -82 |         -6 |        -19 |       -107 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/ivec4.c                                 | C                |        -82 |         -6 |        -19 |       -107 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/mat2.c                                  | C                |        -82 |         -6 |        -18 |       -106 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/mat3.c                                  | C                |        -87 |         -6 |        -19 |       -112 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/mat4.c                                  | C                |       -137 |         -6 |        -29 |       -172 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/plane.c                                 | C                |         -7 |         -6 |         -3 |        -16 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/project.c                               | C                |        -27 |         -6 |         -7 |        -40 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/quat.c                                  | C                |       -187 |         -6 |        -39 |       -232 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/ray.c                                   | C                |        -12 |          0 |         -2 |        -14 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/sphere.c                                | C                |        -27 |         -6 |         -7 |        -40 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/swift/empty.c                           | C                |          0 |         -1 |          0 |         -1 |
